Time [s],Channel 0,Channel 1,Channel 2
2025-09-21T17:21:27.439129000+00:00,1,1,1
2025-09-21T17:21:28.451470120+00:00,0,1,1
2025-09-21T17:21:28.656022840+00:00,1,1,1
2025-09-21T17:21:28.656753320+00:00,0,1,1
2025-09-21T17:21:28.656762000+00:00,1,1,1
2025-09-21T17:21:28.656779360+00:00,0,1,1
2025-09-21T17:21:28.656788040+00:00,1,1,1
2025-09-21T17:21:28.656805400+00:00,0,1,1
2025-09-21T17:21:28.656814040+00:00,1,1,1
2025-09-21T17:21:28.656822760+00:00,0,1,1
2025-09-21T17:21:28.656831400+00:00,1,1,1
2025-09-21T17:21:28.656840080+00:00,0,1,1
2025-09-21T17:21:28.656883480+00:00,1,1,1
2025-09-21T17:21:28.656900840+00:00,0,1,1
2025-09-21T17:21:28.656918200+00:00,1,1,1
2025-09-21T17:21:28.656926880+00:00,0,1,1
2025-09-21T17:21:28.656970240+00:00,1,1,1
2025-09-21T17:21:28.656987640+00:00,0,1,1
2025-09-21T17:21:28.657004960+00:00,1,1,1
2025-09-21T17:21:28.657013640+00:00,0,1,1
2025-09-21T17:21:28.657031000+00:00,1,1,1
2025-09-21T17:21:28.657039680+00:00,0,1,1
2025-09-21T17:21:28.657048360+00:00,1,1,1
2025-09-21T17:21:28.657074400+00:00,0,1,1
2025-09-21T17:21:28.657091760+00:00,1,1,1
2025-09-21T17:21:28.657100440+00:00,0,1,1
2025-09-21T17:21:28.657143840+00:00,1,1,1
2025-09-21T17:21:28.657161200+00:00,0,1,1
2025-09-21T17:21:28.657178520+00:00,1,1,1
2025-09-21T17:21:28.657187200+00:00,0,1,1
2025-09-21T17:21:28.657230600+00:00,1,1,1
2025-09-21T17:21:28.657247960+00:00,0,1,1
2025-09-21T17:21:28.657265320+00:00,1,1,1
2025-09-21T17:21:28.657274000+00:00,0,1,1
2025-09-21T17:21:28.657291360+00:00,1,1,1
2025-09-21T17:21:28.657300040+00:00,0,1,1
2025-09-21T17:21:28.657308720+00:00,1,1,1
2025-09-21T17:21:28.657334760+00:00,0,1,1
2025-09-21T17:21:28.657352080+00:00,1,1,1
2025-09-21T17:21:28.657360760+00:00,0,1,1
2025-09-21T17:21:28.657404160+00:00,1,1,1
2025-09-21T17:21:28.657421520+00:00,0,1,1
2025-09-21T17:21:28.657438880+00:00,1,1,1
2025-09-21T17:21:28.657447560+00:00,0,1,1
2025-09-21T17:21:28.657490960+00:00,1,1,1
2025-09-21T17:21:28.657508320+00:00,0,1,1
2025-09-21T17:21:28.657525640+00:00,1,1,1
2025-09-21T17:21:28.657534320+00:00,0,1,1
2025-09-21T17:21:28.657551680+00:00,1,1,1
2025-09-21T17:21:28.657577720+00:00,0,1,1
2025-09-21T17:21:28.657586400+00:00,1,1,1
2025-09-21T17:21:28.657595080+00:00,0,1,1
2025-09-21T17:21:28.657612440+00:00,1,1,1
2025-09-21T17:21:28.657621120+00:00,0,1,1
2025-09-21T17:21:28.657664480+00:00,1,1,1
2025-09-21T17:21:28.657681880+00:00,0,1,1
2025-09-21T17:21:28.657699200+00:00,1,1,1
2025-09-21T17:21:28.657707880+00:00,0,1,1
2025-09-21T17:21:28.657751280+00:00,1,1,1
2025-09-21T17:21:28.657768640+00:00,0,1,1
2025-09-21T17:21:28.657786000+00:00,1,1,1
2025-09-21T17:21:28.657794680+00:00,0,1,1
2025-09-21T17:21:28.657838040+00:00,1,1,1
2025-09-21T17:21:28.657855440+00:00,0,1,1
2025-09-21T17:21:28.657872760+00:00,1,1,1
2025-09-21T17:21:28.657881440+00:00,0,1,1
2025-09-21T17:21:28.657907480+00:00,1,1,1
2025-09-21T17:21:28.657924840+00:00,0,1,1
2025-09-21T17:21:28.657933520+00:00,1,1,1
2025-09-21T17:21:28.657942200+00:00,0,1,1
2025-09-21T17:21:28.657959560+00:00,1,1,1
2025-09-21T17:21:28.657968240+00:00,0,1,1
2025-09-21T17:21:28.658011600+00:00,1,1,1
2025-09-21T17:21:28.658029000+00:00,0,1,1
2025-09-21T17:21:28.658046320+00:00,1,1,1
2025-09-21T17:21:28.658055000+00:00,0,1,1
2025-09-21T17:21:28.658098400+00:00,1,1,1
2025-09-21T17:21:28.658115760+00:00,0,1,1
2025-09-21T17:21:28.658133120+00:00,1,1,1
2025-09-21T17:21:28.658141800+00:00,0,1,1
2025-09-21T17:21:28.658185160+00:00,1,1,1
2025-09-21T17:21:28.658202560+00:00,0,1,1
2025-09-21T17:21:28.658219880+00:00,1,1,1
2025-09-21T17:21:28.658228560+00:00,0,1,1
2025-09-21T17:21:28.658237240+00:00,1,1,1
2025-09-21T17:21:28.658245920+00:00,0,1,1
2025-09-21T17:21:28.658254600+00:00,1,1,1
2025-09-21T17:21:28.658280640+00:00,0,1,1
2025-09-21T17:21:28.658289320+00:00,1,1,1
2025-09-21T17:21:28.658298000+00:00,0,1,1
2025-09-21T17:21:28.658306680+00:00,1,1,1
2025-09-21T17:21:28.658315360+00:00,0,1,1
2025-09-21T17:21:28.658367400+00:00,1,1,1
2025-09-21T17:21:28.658376120+00:00,0,1,1
2025-09-21T17:21:28.658393440+00:00,1,1,1
2025-09-21T17:21:28.658402120+00:00,0,1,1
2025-09-21T17:21:28.658410800+00:00,1,1,1
2025-09-21T17:21:28.658428160+00:00,0,1,1
2025-09-21T17:21:28.658436840+00:00,1,1,1
2025-09-21T17:21:28.658454200+00:00,0,1,1
2025-09-21T17:21:28.658480240+00:00,1,1,1
2025-09-21T17:21:28.658488920+00:00,0,1,1
2025-09-21T17:21:28.658497600+00:00,1,1,1
2025-09-21T17:21:28.658514960+00:00,0,1,1
2025-09-21T17:21:28.658523600+00:00,1,1,1
2025-09-21T17:21:28.658541000+00:00,0,1,1
2025-09-21T17:21:28.658549640+00:00,1,1,1
2025-09-21T17:21:28.658558320+00:00,0,1,1
2025-09-21T17:21:28.658567000+00:00,1,1,1
